"country"	"schizophrenia"	"depression"	"anxiety"	"bipolar"	"ed"	"gini"	"decade"	"continent"
"Nigeria"	0.221705465	3.98580105	3.043539925	0.554385905	0.122726325	0.355426845	"2010-2019"	"Africa"
"Senegal"	0.21533455	3.9932756	2.88746	0.552900125	0.09596966	0.466426785	"1990-1999"	"Africa"
"Senegal"	0.21548284	3.946032	2.8882524	0.55282835	0.09499065	0.40221073	"2000-2009"	"Africa"
"Senegal"	0.215622	3.9725671	2.8834722	0.552776865	0.10027743	0.392944485	"2010-2019"	"Africa"
"Seychelles"	0.30548552	2.722215	3.6985762	0.33488315	0.13397491	0.42776692	"1990-1999"	"Africa"
"Seychelles"	0.30652985	2.6573365	3.6631038	0.33460274	0.13451593	0.42767617	"2000-2009"	"Africa"
"Seychelles"	0.311022525	2.62386225	3.7180383	0.33422225	0.14585173	0.39473691	"2010-2019"	"Africa"
"South Africa"	0.22216369	4.1541343	3.777796	0.5566754	0.1498963	0.5933394	"1990-1999"	"Africa"
"South Africa"	0.223384926666667	4.04211	3.85739803333333	0.556855096666667	0.15152608	0.618469166666667	"2000-2009"	"Africa"
"South Africa"	0.224952685	4.1574762	3.7909743	0.5569744	0.159857455	0.63204245	"2010-2019"	"Africa"
"Tanzania"	0.2080684	4.816854	3.701398	0.59107655	0.08672659	0.35275686	"1990-1999"	"Africa"
"Tanzania"	0.20866286	4.70645335	3.72064685	0.5911032	0.087381805	0.38771856	"2000-2009"	"Africa"
"Tanzania"	0.211278255	4.62456965	3.7885543	0.591077275	0.099193828	0.3913719	"2010-2019"	"Africa"
"Tunisia"	0.25222935	5.04093265	4.92596385	0.7868145	0.165891475	0.408797665	"1990-1999"	"Africa"
"Tunisia"	0.25318025	5.03812	4.96353795	0.7873966	0.180329625	0.39271429	"2000-2009"	"Africa"
"Tunisia"	0.252983495	5.00622915	5.0681525	0.78796053	0.197623255	0.343120695	"2010-2019"	"Africa"
"Uganda"	0.2020207	7.34151106666667	3.8833649	0.581848223333333	0.076282985	0.411546866666667	"1990-1999"	"Africa"
