"country"	"year"	"schizophrenia"	"depression"	"anxiety"	"bipolar"	"ed"	"gini"	"pop"
"Austria"	2008	2293864.72597368	26018277.3173616	48910621.2769056	7504938.96955992	4480327.1484588	0.30437064	8321496
"Austria"	2009	2300287.524392	25893434.5152514	49216870.240819	7524849.43805871	4555143.9863844	0.31494802	8343323
"Austria"	2010	2305823.936416	25860261.5508748	49435420.335084	7543078.6823196	4611369.3714788	0.3025161	8363404
"Austria"	2011	2312778.18159999	25951747.5883315	49672988.07562	7568431.80075801	4657590.53727175	0.30801	8391643
"Austria"	2012	2321787.44682072	26126348.6560713	50005905.762855	7602406.1385435	4705773.5590371	0.30475533	8429991
"Austria"	2013	2333853.3492989	26356694.9906711	50416054.9897928	7646148.36615498	4757452.56612538	0.30752888	8479823
"Austria"	2014	2351012.28608064	26616929.233986	50907560.0213908	7704155.34798	4810661.7473824	0.3053535	8546356
"Austria"	2015	2377475.1258752	26940727.471034	51536656.132572	7788413.1458848	4864074.6978642	0.30530685	8642699
"Austria"	2016	2410777.20935044	27234000.8989424	52273878.491032	7870980.92308448	4890903.8177512	0.3079501	8736668
"Austria"	2017	2435687.78851248	27427919.0280558	52818310.3336758	7924519.3035882	4901356.80219636	0.2973688	8797566
"Austria"	2018	2448563.87525134	27586271.146635	53109474.110105	7961836.59913557	4936147.77687685	0.30847305	8840521
"Austria"	2019	2457477.3675648	27751534.86392	53336656.957248	7995789.433212	4992553.869632	0.3021043	8879920
"Azerbaijan"	1995	2106242.016723	20637106.75489	19499596.79486	4019156.56939	833413.682862	0.3464838	7684850
"Azerbaijan"	2001	2192024.384144	21772683.2688	20656350.16848	4240574.780432	764617.0628288	0.36454937	8111200
"Azerbaijan"	2002	2212364.23887	21984700.443215	20820319.33027	4271975.6915965	779187.423989	0.25277665	8171950
"Azerbaijan"	2003	2234622.179853	22216244.0598	20989204.24167	4304082.970404	797085.417618	0.2683288	8234100
"Azerbaijan"	2004	2260235.53086	22469333.3563	21180323.21045	4341594.07295	822976.870625	0.26621592	8306500
"Azerbaijan"	2005	2288996.8391995	22720740.86245	21394155.53608	4385922.358295	850794.49508625	0.26554906	8391850
"Bangladesh"	1991	30668532.7993665	517627068.227544	332532543.019417	42666620.8210262	9201372.06028074	0.27570805	109242834
"Bangladesh"	1995	33085762.1511721	550079104.152708	347908136.511218	46009792.762922	10104364.3627087	0.32942984	117793338
"Bangladesh"	2000	36131390.5316286	594332325.577891	383151324.185769	50449964.4790348	11309946.8788289	0.33406532	129193327
"Bangladesh"	2005	39223249.1140217	645211328.019986	466589514.365338	54982965.31728	12792841.0763335	0.33201292	140912590
"Bangladesh"	2010	41189898.9302791	677723996.919294	466012622.731668	57843415.0294143	14569613.3329052	0.32130313	148391139
"Bangladesh"	2016	44141025.3839942	735594223.7803	504725304.349818	62225591.3898824	17540567.4602896	0.32385272	159784568
"Belarus"	1998	2719412.8876629	40878688.4575245	35507263.2513984	5249708.25270111	1009429.2541971	0.3201835	10071963
"Belarus"	1999	2706393.0567888	40903271.5212648	35334328.9900752	5226048.84693726	994520.80866375	0.31738147	10026738
"Belarus"	2000	2693484.1646914	40835103.105096	35156421.594172	5201385.2065125	990522.7974826	0.31167483	9979610
"Belarus"	2001	2680587.1017022	40673398.0831645	34959820.954409	5174715.35818597	991806.197011875	0.30576724	9928549
"Belarus"	2002	2665522.39579164	40476976.0790472	34712818.53732	5141845.97573724	995734.98838044	0.30336243	9865548
"Belarus"	2003	2649466.1085066	40203007.042041	34444421.1586968	5106034.62107316	1008036.488355	0.28821012	9796749
"Belarus"	2004	2634129.26498202	39935584.17999	34186235.51151	5071361.3388387	1021824.12598272	0.26479885	9730146
"Belarus"	2005	2618573.35397745	39610645.1811255	33938845.1480505	5036878.884792	1033616.55325884	0.2755341	9663915
"Belarus"	2006	2605988.96193048	39169975.033336	33719145.1251172	5006193.4837026	1047802.73436754	0.28275442	9604924
"Belarus"	2007	2599423.10556324	38640189.989474	33542165.557485	4983180.65479125	1066948.14419649	0.2961238	9560953
"Belarus"	2008	2596696.6244751	38083641.88455	33402846.7967715	4965920.51530275	1089738.03521475	0.27826044	9527985
"Belarus"	2009	2596374.25663891	37624278.6420281	33300570.650039	4953662.91396691	1112315.74078603	0.27689305	9504583
"Belarus"	2010	2595538.51260064	37316049.5092	33215047.2493128	4942771.420726	1132777.3491562	0.285666	9483836
"Belarus"	2011	2595118.6264254	37115423.537175	33125730.6410364	4931170.8443607	1152552.44338902	0.2715255	9461643
"Belarus"	2012	2599171.94375972	36970955.0456652	33051099.0860792	4923249.7559588	1174119.18933708	0.26526198	9446836
"Belarus"	2013	2607005.86389567	36869119.264089	33011682.7777632	4921068.7800264	1198765.11527115	0.26575053	9443211
"Belarus"	2014	2616281.5204305	36821323.0976805	33004138.1553045	4923514.0203399	1222774.2775566	0.27176666	9448515
"Belarus"	2015	2624832.6739524	36830411.5748904	33026118.591936	4929706.4222526	1239111.63629592	0.25633225	9461076
"Belarus"	2016	2629885.36603838	36886938.4668785	33011402.8827348	4933675.2425544	1248819.8086442	0.25306615	9469379
"Belarus"	2017	2628119.74530018	36836903.2572134	32930251.8857168	4927847.6075322	1257686.66295734	0.2544457	9458989
"Belarus"	2018	2621179.6659578	36533581.884085	32855847.0895355	4916938.3414706	1259813.3227443	0.25240526	9438785
"Belarus"	2019	2612325.9095678	36026231.841562	32810895.4137452	4906652.0927652	1263961.0259802	0.25277847	9419758
"Belgium"	1992	2759879.5363155	32946521.059878	50148100.748028	9014128.60816848	3725953.0189074	0.2494629	10045158
"Belgium"	1995	2785607.42150076	33090980.890407	50552716.3945974	9097197.30189114	3854416.14897072	0.28410766	10136811
"Belgium"	1997	2794700.6426501	33131256.6736455	50491400.35372	9138038.5956927	3907799.4612583	0.2683214	10181245
"Belgium"	2000	2808307.38475	33426322.63375	50365276.958	9201953.987675	3991810.09675	0.33135915	10251250
"Belgium"	2003	2843061.4796133	34424398.399716	51085980.8386359	9332294.64276798	4149399.39993252	0.28143317	10376133
"Belgium"	2004	2855762.21784309	34805709.6991276	51354492.9710605	9379643.3576515	4211089.54727166	0.30541426	10421137
"Belgium"	2005	2871605.88945012	35257300.9773151	51672900.132207	9434320.75422042	4266516.6600497	0.29336902	10478617
"Belgium"	2006	2890417.9032954	35973230.62131	52109950.331904	9496913.47578312	4322618.79669876	0.28054035	10547958
"Belgium"	2007	2911464.432741	36992871.95439	52691634.9702	9567045.57045	4384059.68814	0.29237667	10625700
"Belgium"	2008	2934234.00795276	38113139.6642124	53355478.99005	9643153.6604673	4440557.2242897	0.28373718	10709973
"Belgium"	2009	2957633.3987427	39090227.3713116	54025385.3782722	9721216.279665	4507964.4482721	0.28551185	10796493
"Belgium"	2010	2984543.9769678	39745222.5976494	54696371.2454796	9810472.799088	4563140.82168282	0.28374815	10895586
"Belgium"	2011	3023392.6516904	40170834.4803872	55575032.133168	9938975.09918248	4644968.60384512	0.2806043	11038264
"Belgium"	2012	3041959.3166542	40187687.8084096	56133696.8277152	10000842.623314	4702901.5902128	0.27490476	11106932
"Belgium"	2013	3056153.81256822	40082483.0479584	56619924.0924765	10048183.9393093	4748955.9531141	0.27668843	11159407
"Belgium"	2014	3069758.86760655	39986556.6300795	57059312.341505	10092886.0056768	4802086.12069125	0.28134006	11209057
"Belgium"	2015	3087936.44309536	40038509.9871576	57503518.084984	10151364.997772	4843546.803246	0.27729303	11274196
"Belgium"	2016	3108695.7391749	40162170.8921914	57767000.122056	10202623.7006237	4895413.85026108	0.2758073	11331422
"Belgium"	2017	3125710.73336252	40260631.341826	57883067.0659948	10241745.9020001	4944875.25515666	0.27387637	11375158
"Belgium"	2018	3138414.89876958	40442526.673314	57970773.9083802	10288222.371306	4980185.86801302	0.2721419	11427054
"Belgium"	2019	3149911.4728686	40694222.215356	57987639.4152	10343686.5525852	5018603.605722	0.27219546	11488980
"Belize"	1993	51941.48729589	619829.7803105	785080.6209745	175849.1766656	33478.23909638	0.6022769	194177
"Belize"	1994	53154.31304448	633711.040808	801737.745456	179705.7779528	34663.90417872	0.60867983	198416
"Belize"	1996	56301.992036	673288.385232	848044.64808	190098.4332624	37212.1253864	0.5654803	209840
"Belize"	1997	58284.8198213	700307.843862	877963.829112	196718.11313869	38650.89260141	0.6035009	217117
"Belize"	1998	60403.83075936	730407.298479	910146.1806876	203807.2823229	40225.01053725	0.54866445	224907
"Belize"	1999	62532.1221113	760289.2552375	942544.0501219	210933.00927451	41817.90297804	0.5323102	232733
"Benin"	2003	1623108.18638344	33963532.40272	24237680.9018824	4179795.2444928	703517.0198596	0.3857762	7659208
"Benin"	2011	2062339.1109194	43139315.9502	30823704.536902	5307140.88872	915943.1255076	0.43439555	9726380
"Benin"	2015	2321329.82646552	48510861.6384492	35093634.3134916	5964965.7628188	1052028.03511836	0.4762964	10932783
"Benin"	2018	2541590.25765839	53020077.4070455	38608154.2355704	6514576.81553792	1179756.55557669	0.37948644	11940683
"Bhutan"	2003	181769.32590705	2582623.0170391	2027668.169485	249195.7474923	71101.28634518	0.40898	634627
"Bhutan"	2007	195732.01722668	2722283.7043832	2180897.4709892	267640.39252362	81321.38284326	0.3809077	681614
"Bhutan"	2012	206529.8415362	2847583.0259505	2319363.6401365	283178.4397634	92973.69845095	0.38809326	721145
"Bhutan"	2017	216797.09245275	2995203.214275	2449802.551281	296715.82327124	105586.81577275	0.3744141	756121
"Bolivia"	1997	2131473.11759865	29546738.4187675	45758002.526999	7228069.186751	1601706.22720822	0.5814129	8137619
"Bolivia"	1999	2214480.6645524	30338217.2516236	47553979.5368164	7494729.33878472	1681150.97528576	0.5803485	8439052
"Bolivia"	2000	2255926.47520688	30766363.9810208	48432075.9112	7630520.32533984	1717768.00029408	0.61563873	8592656
"Bolivia"	2001	2296895.2681674	31203121.3882868	49263099.1553012	7766087.9116252	1752473.05453404	0.57366186	8746084
"Bolivia"	2002	2338306.8722037	31635691.0597536	50069051.2293108	7902532.1463444	1789389.40538106	0.59274095	8900583
"Bolivia"	2004	2423221.76791197	32533238.1495366	51704919.606267	8181312.0657417	1862336.53890207	0.5500019	9216279
"Bolivia"	2005	2466585.75372624	32985424.5952284	52578239.9437512	8323620.62147676	1901666.01901536	0.58518255	9377388
"Bolivia"	2006	2512082.1780925	33426713.6684078	53533826.9889969	8469674.13937788	1946631.58660087	0.56660104	9542663
"Bolivia"	2007	2559991.2533096	33852983.616056	54563039.782592	8618627.977696	2001073.57175968	0.5453242	9711152
"Bolivia"	2008	2608867.62587094	34261061.9498451	55630999.18569	8768481.8668257	2062085.48984394	0.50814897	9880593
"Bolivia"	2009	2657877.39331092	34707835.8596295	56716558.3948464	8919531.6698781	2121204.10779531	0.4922026	10051317
"Bolivia"	2011	2754107.78604528	35771387.642431	58916378.574172	9224852.1008238	2244335.3487324	0.46080348	10396246
"Bolivia"	2012	2803163.9740972	36308533.7574289	60117899.80872	9378426.19319072	2308029.37195039	0.46579948	10569697
"Bolivia"	2013	2852599.38078364	36866805.5222966	61343792.242268	9532186.807136	2374381.43878107	0.47588572	10743349
"Bolivia"	2014	2901795.62470798	37424582.0864298	62536289.730489	9685947.80804732	2442031.08399778	0.47829148	10916987
"Bolivia"	2015	2950013.8461927	37994471.512776	63632109.7015545	9839245.402935	2506914.8232585	0.46731615	11090085
"Bolivia"	2016	2997155.30643925	38578259.18624	64573145.7555375	9992403.1919286	2578695.55441765	0.45240772	11263015
"Bolivia"	2017	3043807.254143	39168676.5851024	65492597.7111021	10145200.0597318	2646167.81307309	0.4461778	11435533
"Bolivia"	2018	3091082.6909986	39653362.4837285	66515430.488828	10296990.3258675	2716498.1529718	0.4257908	11606905
"Bolivia"	2019	3139283.356121	40036183.840543	67608214.9807955	10447935.9655044	2796190.6198281	0.416443	11777315
"Bosnia and Herzegovina"	2001	1187207.11802952	13197386.114892	14940899.6934736	2302261.7412536	440160.45538304	0.2996643	4194932
"Bosnia and Herzegovina"	2004	1177264.1804772	12541044.563276	14727873.51429	2272381.49573	466030.1556856	0.3403749	4142860
"Bosnia and Herzegovina"	2007	1142517.7967494	11618364.8048708	14253812.2033504	2198405.51407384	475358.445454576	0.33061588	4007876
"Bosnia and Herzegovina"	2011	1070743.13727888	10365121.7855172	13318999.0873368	2053981.94566968	469008.5806302	0.33030185	3743142
"Botswana"	1993	316630.72669856	6165021.4691748	5140232.1417034	790969.49546994	208578.63092296	0.6014759	1462262
"Botswana"	2002	394781.1839244	7830161.929369	6320773.721762	971008.3817841	275884.6976604	0.6472722	1795130
"Botswana"	2009	454339.14444798	8790907.3123602	7227310.325271	1108368.4550034	331588.22148141	0.604583	2048997
"Botswana"	2015	515478.83516008	9782296.0379694	8244840.1098778	1246906.181807	397997.75454043	0.5332503	2305171
"Brazil"	1990	41299214.6815961	603920967.743082	888388050.188727	167662156.967857	30446474.2743434	0.6044999	150706446
"Brazil"	1992	42783255.1406664	620134305.062184	933223329.376083	173462530.701051	31460243.1232824	0.5310165	155900790
