"country"	"year"	"schizophrenia"	"depression"	"anxiety"	"bipolar"	"ed"	"gini"
"Belarus"	2009	0.27317077	3.9585407	3.503633	0.52118677	0.11702941	0.27689305
"Belarus"	2010	0.27368024	3.9347	3.5022798	0.5211785	0.11944295	0.285666
"Belarus"	2011	0.2742778	3.922725	3.5010548	0.5211749	0.12181314	0.2715255
"Belarus"	2012	0.27513677	3.9135807	3.4986422	0.5211533	0.12428703	0.26526198
"Belarus"	2013	0.27607197	3.904299	3.4958112	0.5211224	0.12694465	0.26575053
"Belarus"	2014	0.2768987	3.8970487	3.4930503	0.52108866	0.12941444	0.27176666
"Belarus"	2015	0.2774349	3.8928354	3.490736	0.52105135	0.13096942	0.25633225
"Belarus"	2016	0.27772522	3.8953915	3.4861212	0.5210136	0.1318798	0.25306615
"Belarus"	2017	0.27784362	3.8943806	3.4813712	0.5209698	0.13296206	0.2544457
"Belarus"	2018	0.27770308	3.870581	3.4809403	0.52092916	0.13347198	0.25240526
"Belarus"	2019	0.2773241	3.824539	3.4831994	0.5208894	0.1341819	0.25277847
"Belgium"	1992	0.27474725	3.279841	4.992266	0.89736056	0.3709203	0.2494629
"Belgium"	1995	0.27480116	3.264437	4.9870434	0.89744174	0.38023952	0.28410766
"Belgium"	1997	0.27449498	3.2541459	4.959256	0.89753646	0.38382334	0.2683214
"Belgium"	2000	0.2739478	3.260707	4.9130864	0.89764214	0.3893974	0.33135915
"Belgium"	2003	0.2740001	3.317652	4.9234123	0.89940006	0.39989844	0.28143317
"Belgium"	2004	0.27403557	3.3399148	4.9279165	0.9000595	0.40409118	0.30541426
"Belgium"	2005	0.27404436	3.3646903	4.931271	0.90034026	0.4071641	0.29336902
"Belgium"	2006	0.2740263	3.410445	4.940288	0.90035564	0.40980622	0.28054035
"Belgium"	2007	0.27400213	3.4814527	4.958886	0.9003685	0.4125902	0.29237667
"Belgium"	2008	0.27397212	3.5586588	4.98185	0.9003901	0.4146189	0.28373718
"Belgium"	2009	0.2739439	3.6206412	5.0039754	0.900405	0.4175397	0.28551185
"Belgium"	2010	0.2739223	3.6478279	5.0200486	0.900408	0.41880637	0.28374815
"Belgium"	2011	0.2739011	3.6392348	5.034762	0.90041107	0.42080608	0.2806043
"Belgium"	2012	0.27387935	3.6182528	5.0539336	0.9004145	0.4234204	0.27490476
"Belgium"	2013	0.27386346	3.5918112	5.0737395	0.90042275	0.4255563	0.27668843
"Belgium"	2014	0.27386415	3.5673435	5.090465	0.9004224	0.42841125	0.28134006
"Belgium"	2015	0.27389416	3.5513406	5.100454	0.900407	0.4296135	0.27729303
"Belgium"	2016	0.27434295	3.5443187	5.097948	0.90038335	0.43202114	0.2758073
"Belgium"	2017	0.27478394	3.539347	5.0885506	0.90036076	0.43470827	0.27387637
"Belgium"	2018	0.27464777	3.539191	5.0731163	0.900339	0.43582413	0.2721419
"Belgium"	2019	0.27416807	3.5420222	5.04724	0.90031374	0.4368189	0.27219546
"Belize"	1993	0.26749557	3.1920865	4.0431185	0.9056128	0.17241094	0.6022769
"Belize"	1994	0.26789328	3.1938505	4.040691	0.90570205	0.17470317	0.60867983
"Belize"	1996	0.26830915	3.2085798	4.041387	0.90592086	0.17733571	0.5654803
"Belize"	1997	0.2684489	3.225486	4.043736	0.90604657	0.17801873	0.6035009
"Belize"	1998	0.26857248	3.247597	4.0467668	0.9061847	0.17885175	0.54866445
"Belize"	1999	0.2686861	3.2667875	4.0498943	0.90633047	0.17968188	0.5323102
"Benin"	2003	0.21191593	4.43434	3.1645153	0.5457216	0.09185245	0.3857762
"Benin"	2011	0.21203563	4.43529	3.1690829	0.545644	0.09417102	0.43439555
"Benin"	2015	0.21232744	4.4371924	3.2099452	0.5456036	0.09622692	0.4762964
"Benin"	2018	0.21285133	4.4402885	3.2333288	0.54557824	0.09880143	0.37948644
"Bhutan"	2003	0.28641915	4.0695133	3.195055	0.3926649	0.11203634	0.40898
"Bhutan"	2007	0.28715962	3.9938788	3.1996078	0.39265683	0.11930709	0.3809077
"Bhutan"	2012	0.28639156	3.9486969	3.2162237	0.39267892	0.12892511	0.38809326
"Bhutan"	2017	0.28672275	3.961275	3.239961	0.39241844	0.13964275	0.3744141
"Bolivia"	1997	0.26192835	3.6308825	5.623021	0.888229	0.19682738	0.5814129
"Bolivia"	1999	0.2624087	3.5949793	5.6349907	0.88810086	0.19921088	0.5803485
"Bolivia"	2000	0.26254123	3.5805418	5.63645	0.88802814	0.19991118	0.61563873
"Bolivia"	2001	0.26261985	3.5676677	5.6325893	0.8879503	0.20037231	0.57366186
"Bolivia"	2002	0.2627139	3.5543392	5.6253676	0.8878668	0.20104182	0.59274095
"Bolivia"	2004	0.26292843	3.5299754	5.610173	0.8877023	0.20207033	0.5500019
"Bolivia"	2005	0.26303548	3.5175493	5.6069174	0.88762677	0.20279272	0.58518255
"Bolivia"	2006	0.2632475	3.5028706	5.6099463	0.88755876	0.20399249	0.56660104
"Bolivia"	2007	0.26361355	3.4859905	5.618596	0.887498	0.20605934	0.5453242
"Bolivia"	2008	0.26403958	3.4675107	5.63033	0.8874449	0.20870058	0.50814897
"Bolivia"	2009	0.26443076	3.4530635	5.6426992	0.8873993	0.21103743	0.4922026
"Bolivia"	2011	0.26491368	3.4407985	5.667082	0.8873253	0.2158794	0.46080348
"Bolivia"	2012	0.2652076	3.4351537	5.68776	0.88729376	0.21836287	0.46579948
"Bolivia"	2013	0.26552236	3.4315934	5.709932	0.887264	0.22100943	0.47588572
"Bolivia"	2014	0.26580554	3.4281054	5.728347	0.88723636	0.22369094	0.47829148
"Bolivia"	2015	0.26600462	3.4259856	5.7377477	0.887211	0.2260501	0.46731615
"Bolivia"	2016	0.26610595	3.425216	5.7332025	0.88718724	0.22895251	0.45240772
"Bolivia"	2017	0.266171	3.4251728	5.7271137	0.8871646	0.23139873	0.4461778
"Bolivia"	2018	0.26631412	3.4163597	5.7306776	0.8871435	0.23404156	0.4257908
"Bolivia"	2019	0.2665534	3.3994322	5.7405457	0.88712376	0.23742174	0.416443
"Bosnia and Herzegovina"	2001	0.28300986	3.146031	3.5616548	0.5488198	0.10492672	0.2996643
"Bosnia and Herzegovina"	2004	0.28416702	3.0271466	3.5550015	0.5485055	0.11248996	0.3403749
"Bosnia and Herzegovina"	2007	0.28506815	2.8988833	3.5564504	0.54852134	0.118606076	0.33061588
"Bosnia and Herzegovina"	2011	0.28605464	2.7690966	3.5582404	0.54873204	0.1252981	0.33030185
"Botswana"	1993	0.21653488	4.2160854	3.5152607	0.54092187	0.14264108	0.6014759
"Botswana"	2002	0.21991788	4.3618913	3.5210674	0.54091257	0.15368508	0.6472722
"Botswana"	2009	0.22173734	4.2903466	3.527243	0.5409322	0.16182953	0.604583
"Botswana"	2015	0.22361848	4.2436314	3.5766718	0.540917	0.17265433	0.5332503
"Brazil"	1990	0.27403748	4.007267	5.8948245	1.1125082	0.20202503	0.6044999
"Brazil"	1992	0.27442616	3.9777496	5.9860077	1.1126469	0.20179656	0.5310165
"Brazil"	1993	0.2745315	3.9737947	6.032992	1.1127009	0.20173447	0.600656
"Brazil"	1995	0.27458176	3.9818487	6.0966754	1.1127634	0.2020338	0.59530365
"Brazil"	1996	0.2744441	4.0324645	6.214051	1.1127659	0.20229526	0.5983732
"Brazil"	1997	0.2741536	4.142137	6.4866014	1.1127455	0.20304035	0.59753734
"Brazil"	1998	0.27381995	4.274299	6.840312	1.1127051	0.2039407	0.5956541
"Brazil"	1999	0.2735527	4.389146	7.2011905	1.1126485	0.20486076	0.5895037
"Brazil"	2001	0.2736245	4.468849	7.7605925	1.1125041	0.20594922	0.5840255
"Brazil"	2002	0.27397603	4.489239	8.052995	1.112434	0.20679027	0.58105445
"Brazil"	2003	0.2744134	4.50729	8.325585	1.1123735	0.2076286	0.57553095
"Brazil"	2004	0.2748338	4.519624	8.531428	1.1123247	0.20859815	0.564716
"Brazil"	2005	0.2751347	4.522009	8.623396	1.1122869	0.20954143	0.56309944
"Brazil"	2006	0.27541864	4.4674706	8.624634	1.1122575	0.21111779	0.5564207
"Brazil"	2007	0.2758065	4.340723	8.599017	1.1122357	0.21300578	0.54918945
"Brazil"	2008	0.27622476	4.18443	8.560106	1.1122206	0.21547474	0.5403744
"Brazil"	2009	0.2765995	4.0434394	8.521455	1.1122092	0.21788125	0.5368187
"Brazil"	2011	0.27709642	3.9285553	8.370385	1.1121776	0.22251388	0.5294164
"Brazil"	2012	0.2774228	3.8990006	8.088891	1.1121545	0.22528383	0.53435296
"Brazil"	2013	0.27777192	3.8741443	7.756805	1.112128	0.22806862	0.5268333
"Brazil"	2014	0.27807996	3.853073	7.479013	1.1120973	0.23033057	0.5202964
"Brazil"	2015	0.27828407	3.8358004	7.360401	1.1120592	0.23156287	0.51926446
"Brazil"	2016	0.27844945	3.8155415	7.373152	1.1120119	0.23157497	0.533671
"Brazil"	2017	0.2785209	3.802968	7.390714	1.1119626	0.23137628	0.53321064
"Brazil"	2018	0.27824938	3.8013446	7.399703	1.1119095	0.2317659	0.5388832
"Brazil"	2019	0.27764335	3.8015563	7.410114	1.1118531	0.23241082	0.5350931
"Bulgaria"	1992	0.28331092	2.9967184	3.433599	0.46690297	0.13291053	0.3071431
"Bulgaria"	2006	0.2836449	2.78487	3.3586426	0.46686152	0.13197805	0.3568935
