"country"	"schizophrenia"	"depression"	"anxiety"	"bipolar"	"ed"	"gini"	"decade"	"continent"
"Canada"	10288389.0541396	115132075.699513	154249214.533113	28720819.8314178	15192841.7362671	0.330760708	"2010-2019"	"America"
"Chile"	4440978.54184727	60781235.2840646	76348407.715906	13371643.033779	4001604.41252	0.557696576	"1990-1999"	"America"
"Chile"	5287428.97656694	64152876.5830939	92181505.4656932	16466259.5156538	5428555.54793274	0.483400545714286	"2000-2009"	"America"
"Chile"	5635646.92217119	65152217.7670126	97583029.1155609	17647087.4263086	6112267.99180903	0.4607633125	"2010-2019"	"America"
"Colombia"	10048831.1691905	90916661.2649372	175721803.957718	26983474.9739695	6755652.42705808	0.555565913333333	"1990-1999"	"America"
"Colombia"	11807363.6948646	104130724.398429	200354148.838752	31557600.1803015	8241024.463862	0.549559522727273	"2000-2009"	"America"
"Colombia"	13194263.5242989	103868026.234164	200778681.89642	34893626.722036	9934091.919657	0.51889653	"2010-2019"	"America"
"Costa Rica"	995263.867808675	10918646.0264288	14251075.6088255	3074648.96962534	687417.896230754	0.461030851	"1990-1999"	"America"
"Costa Rica"	1259833.06757875	14071491.8119073	18090645.2424861	3862167.19409895	938962.822699291	0.49116725	"2000-2009"	"America"
"Costa Rica"	1390747.80116212	15566672.5513772	20234045.5445619	4242804.48309228	1105089.87331057	0.484586973	"2010-2019"	"America"
"Dominican Republic"	2106282.14647453	29956296.5719959	35016790.7031135	7179090.5369342	1404248.92069734	0.49124387	"1990-1999"	"America"
"Dominican Republic"	2649561.10092737	37676189.4898152	43250994.2115546	8825054.89379621	1972381.92077678	0.482380790714286	"2000-2009"	"America"
"Dominican Republic"	2848339.47541522	39494436.8229041	46375382.6830318	9409427.53989021	2234539.67742128	0.451801669	"2010-2019"	"America"
"Ecuador"	3228484.52870437	39376571.1475426	60536435.0779529	10792610.5540374	2922517.61762277	0.5595053	"1990-1999"	"America"
"Ecuador"	4353621.54580969	52827651.1451251	81982265.8281904	14365256.1649278	4319188.35897052	0.468801875	"2000-2009"	"America"
"Ecuador"	4437908.24133935	53744524.9584783	83676847.5284464	14626818.0417458	4448024.02218692	0.459420027	"2010-2019"	"America"
"El Salvador"	1522267.0604953	21136529.8666942	24394242.8549661	4754809.57076535	938896.752361604	0.52211835	"1990-1999"	"America"
"El Salvador"	1648207.88132874	21240693.5227909	26853801.94289	5088594.94734571	1151552.00603117	0.428016488	"2000-2009"	"America"
"El Salvador"	1667753.29476741	21281824.5885859	27297357.5170335	5132341.98367252	1186461.04850785	0.408505104	"2010-2019"	"America"
